Filename,Size,Unit
Disc01/01-Eurythmics & Aretha Franklin - Sisters Are Doing It For T.mp3,13.5,M
Disc01/02-Belinda Carlisle - Heaven Is A Place On Earth.mp3,9.71,M
Disc01/03-Cher - If I Could Turn Back Time.mp3,8.77,M
Disc01/04-Natalie Imbruglia - Torn.mp3,9.46,M
Disc01/05-Christina Aguilera - Genie In A Bottle.mp3,8.51,M
Disc01/06-Janet Jackson - What Have You Done For Me Lately.mp3,10.86,M
Disc01/07-Maria McKee - Show Me Heaven.mp3,8.61,M
Disc01/08-Dido - Here With Me.mp3,9.64,M
Disc01/09-Texas - Say What You Want.mp3,8.93,M
Disc01/10-4 Non Blondes - What's Up.mp3,11.25,M
Disc01/11-Kate Bush - Running Up That Hill.mp3,11.45,M
Disc01/12-Kylie Minogue - Confide In Me.mp3,13.43,M
Disc01/13-Sheryl Crow - Run Baby Run.mp3,11.19,M
Disc01/14-Annie Lennox - Why.mp3,11.22,M
Disc01/15-Sinead O'Connor - Nothing Compares 2 U.mp3,11.87,M
Disc01/16-Olivia Newton John - Hopelessly Devoted To You.mp3,7.08,M
Disc01/All_Woman_2003_[1]Front.jpg,107.57,K
Disc01/All_Woman_2003_[2]Back.jpg,211.39,K
Disc01/V.A. - All Woman - Back.jpg,211.39,K
Disc01/V.A. - All Woman - Front.jpg,107.57,K
Disc02/01~Bangles ~ Eternal Flame.mp3,9.07,M
Disc02/02~Cyndi Lauper ~ Time After Time.mp3,9.18,M
Disc02/03~Robin Beck ~ First time.mp3,7.59,M
Disc02/04~Dido ~ Thank You.mp3,8.32,M
Disc02/05~Toni Braxton ~ Un-breack My Heart.mp3,10.32,M
Disc02/06~Gladys Knight & The Pips ~ You're The Best Thing That Eve.mp3,8.64,M
Disc02/07~Three Degrees ~ Woman In Love.mp3,9.6,M
Disc02/08~Sam Brown ~ Stop.mp3,11.34,M
Disc02/09~Bette Middler ~ From A Distance.mp3,10.66,M
Disc02/10~Dolly Parton ~ I will always love you.mp3,7.55,M
Disc02/11~Sixpence None The Richer ~ Kiss Me.mp3,7.57,M
Disc02/12~Shanice ~ I Love your  Smile.mp3,9.96,M
Disc02/13~SWV ~ Right Here.mp3,8.65,M
Disc02/14~M People ~ Don't Look Any Further.mp3,8.82,M
Disc02/15~Vanessa Williams ~ Save The Best For Last.mp3,8.35,M
Disc02/16~Dinah Washington ~ Mad About The Boy.mp3,6.43,M
Disc02/V.A. - All Woman - Back.jpg,211.39,K
Disc02/V.A. - All Woman - Front.jpg,107.57,K
Disc03/01~Dionne Warwick ~ Heartbreaker.mp3,9.86,M
Disc03/02~Lisa Stansfield ~ All Around The World.mp3,10.24,M
Disc03/03~Gladys Knight ~ Licence To Kill.mp3,12.02,M
Disc03/04~Gloria Gaynor ~ I Will Survive.mp3,7.47,M
Disc03/05~The Supremes ~ Where Did Our Love Go.mp3,5.88,M
Disc03/06~Erma Franklin ~ Piece Of My Heart.mp3,5.83,M
Disc03/07~Nina Simone ~ I Put A Spell On You.mp3,6.03,M
Disc03/08~The Cardigans ~ Lovefool.mp3,7.53,M
Disc03/09~Bonnie Tyler ~ It's A Heartache.mp3,8.04,M
Disc03/10~Blondie ~ Heart of Glass.mp3,10.44,M
Disc03/11~Laura Branigan ~ Self Control.mp3,9.39,M
Disc03/12~Taylor Dayne ~ Tell It To My Heart.mp3,8.4,M
Disc03/13~Lynn Anderson ~ Rose Garden.mp3,6.49,M
Disc03/14~Mary MacGregor ~ Torn Between Two Lovers.mp3,8.59,M
Disc03/15~Melanie ~ Ruby Tuesday.mp3,10.62,M
Disc03/16~Julie Covington ~ Don't Cry For Me Argentina.mp3,12.48,M
Disc03/V.A. - All Woman - Back.jpg,211.39,K
Disc03/V.A. - All Woman - Front.jpg,107.57,K
Disc04/01~Donna Summer ~ Hot Stuff.mp3,8.82,M
Disc04/02~ Diana Ross ~ Upside Down.mp3,9.43,M
Disc04/03~Linda Lewis ~ It's In His Kiss.mp3,7.75,M
Disc04/04~Labelle ~ Lady Marmalade.mp3,8.99,M
Disc04/05~Irene Cara ~ Flashdance.mp3,8.95,M
Disc04/06~Pointer Sisters ~ Jump (For My Love).mp3,9.23,M
Disc04/07~Alison Limerick ~ Where Love Lives.mp3,15.49,M
Disc04/08~Heather Small ~ Proud.mp3,10.3,M
Disc04/09~Amy Grant ~ Baby Baby.mp3,9.06,M
Disc04/10~Joan Osborne ~ One Of Us.mp3,12.12,M
Disc04/11~Fairground Attraction ~ Perfect.mp3,8.3,M
Disc04/12~Petula Clark ~ Downtown.mp3,7.33,M
Disc04/13~Sandie Shaw ~ Puppet On A String.mp3,5.44,M
Disc04/14~Dusty Springfield ~ Son of a Preacher Man.mp3,5.58,M
Disc04/15~Aretha Franklin ~ I Say A Little Prayer.mp3,8.25,M
Disc04/16~Lisa Stansfield ~ All Woman.mp3,10.98,M
Disc04/V.A. - All Woman - Back.jpg,211.39,K
Disc04/V.A. - All Woman - Front.jpg,107.57,K
