User Type,Username,Date,Text
,cassandra_cain,2010-12-15T12:58Z,"Supergod #5!

Thanks, Ship =]"
,KG3321,2010-12-16T00:31Z,"Awesome job, as always . . .  Thanks!"
,legolas451,2010-12-16T03:39Z,"hey shipJ LOVE YOUR UPLOADS!!
is there any way you can tell me which weeks the first 5 Resident Evil comics are uploaded under? Because i know they are like months apart if im not mistaken and I dont wanna click every weeks link. haha, thank so much in advance. you rock my world"
,kaizerzero,2010-12-16T04:49Z,"Thanks for the uploads ShipJ!

Off topic:
Don't know if it was on purpose but Superboy # 2, pages 10 to 11 is ROFL-worthy!! My reaction is the same as his!  :)"
