Filename,Size,Unit
NFO.NFO,1.79,K
Tucker.part01.rar,14.31,M
Tucker.part02.rar,14.31,M
Tucker.part03.rar,14.31,M
Tucker.part04.rar,14.31,M
Tucker.part05.rar,14.31,M
Tucker.part06.rar,14.31,M
Tucker.part07.rar,14.31,M
Tucker.part08.rar,14.31,M
Tucker.part09.rar,14.31,M
Tucker.part10.rar,14.31,M
Tucker.part11.rar,14.31,M
Tucker.part12.rar,14.31,M
Tucker.part13.rar,14.31,M
Tucker.part14.rar,14.31,M
Tucker.part15.rar,14.31,M
Tucker.part16.rar,14.31,M
Tucker.part17.rar,14.31,M
Tucker.part18.rar,14.31,M
Tucker.part19.rar,14.31,M
Tucker.part20.rar,14.31,M
Tucker.part21.rar,14.31,M
Tucker.part22.rar,14.31,M
Tucker.part23.rar,14.31,M
Tucker.part24.rar,14.31,M
Tucker.part25.rar,14.31,M
Tucker.part26.rar,14.31,M
Tucker.part27.rar,14.31,M
Tucker.part28.rar,14.31,M
Tucker.part29.rar,14.31,M
Tucker.part30.rar,14.31,M
Tucker.part31.rar,14.31,M
Tucker.part32.rar,14.31,M
Tucker.part33.rar,14.31,M
Tucker.part34.rar,14.31,M
Tucker.part35.rar,14.31,M
Tucker.part36.rar,14.31,M
Tucker.part37.rar,14.31,M
Tucker.part38.rar,14.31,M
Tucker.part39.rar,14.31,M
Tucker.part40.rar,14.31,M
Tucker.part41.rar,14.31,M
Tucker.part42.rar,14.31,M
Tucker.part43.rar,14.31,M
Tucker.part44.rar,14.31,M
Tucker.part45.rar,14.31,M
Tucker.part46.rar,14.31,M
Tucker.part47.rar,14.31,M
Tucker.part48.rar,14.31,M
Tucker.part49.rar,4.49,M
Tucker.sfv,4.22,K
www.TorrentDay.com.txt,200,B
