Filename,Size,Unit
Talking Heads - The Best Of; Once in a Lifetime [flac] pea_soup/01 Talking Heads - Psycho Killer.flac,26.51,M
Talking Heads - The Best Of; Once in a Lifetime [flac] pea_soup/02 Talking Heads - Take Me to the River.flac,33.74,M
Talking Heads - The Best Of; Once in a Lifetime [flac] pea_soup/03 Talking Heads - Once in a Lifetime.flac,27.94,M
Talking Heads - The Best Of; Once in a Lifetime [flac] pea_soup/04 Talking Heads - Burning Down the House.flac,25.92,M
Talking Heads - The Best Of; Once in a Lifetime [flac] pea_soup/05 Talking Heads - This Must Be the Place (Naive Melody).flac,28.31,M
Talking Heads - The Best Of; Once in a Lifetime [flac] pea_soup/06 Talking Heads - Slippery People (Live).flac,27.46,M
Talking Heads - The Best Of; Once in a Lifetime [flac] pea_soup/07 Talking Heads - Life During Wartime (Live).flac,34.89,M
Talking Heads - The Best Of; Once in a Lifetime [flac] pea_soup/08 Talking Heads - And She Was.flac,24.3,M
Talking Heads - The Best Of; Once in a Lifetime [flac] pea_soup/09 Talking Heads - Road to Nowhere.flac,26.09,M
Talking Heads - The Best Of; Once in a Lifetime [flac] pea_soup/10 Talking Heads - Wild Wild Life.flac,25.88,M
Talking Heads - The Best Of; Once in a Lifetime [flac] pea_soup/11 Talking Heads - Blind.flac,33.01,M
Talking Heads - The Best Of; Once in a Lifetime [flac] pea_soup/12 Talking Heads - (Nothing But) Flowers.flac,39.64,M
Talking Heads - The Best Of; Once in a Lifetime [flac] pea_soup/13 Talking Heads - Sax and Violins.flac,32.26,M
Talking Heads - The Best Of; Once in a Lifetime [flac] pea_soup/14 Talking Heads - Lifetime Piling Up.flac,25.25,M
Talking Heads - The Best Of; Once in a Lifetime [flac] pea_soup/Folder.jpg,39.37,K
