Filename,Size,Unit
VIDEO_TS/VIDEO_TS.BUP,16,K
VIDEO_TS/VIDEO_TS.IFO,16,K
VIDEO_TS/VIDEO_TS.VOB,14.38,M
VIDEO_TS/VTS_01_0.BUP,84,K
VIDEO_TS/VTS_01_0.IFO,84,K
VIDEO_TS/VTS_01_0.VOB,415.23,M
VIDEO_TS/VTS_01_1.VOB,1023.92,M
VIDEO_TS/VTS_01_2.VOB,1023.89,M
VIDEO_TS/VTS_01_3.VOB,1023.78,M
VIDEO_TS/VTS_01_4.VOB,1023.66,M
VIDEO_TS/VTS_01_5.VOB,7.22,M
VIDEO_TS/VTS_02_0.BUP,26,K
VIDEO_TS/VTS_02_0.IFO,26,K
VIDEO_TS/VTS_02_1.VOB,746.39,M
VIDEO_TS/VTS_03_0.BUP,32,K
VIDEO_TS/VTS_03_0.IFO,32,K
VIDEO_TS/VTS_03_1.VOB,1023.76,M
VIDEO_TS/VTS_03_2.VOB,65.92,M
VIDEO_TS/VTS_04_0.BUP,14,K
VIDEO_TS/VTS_04_0.IFO,14,K
VIDEO_TS/VTS_04_1.VOB,91.33,M
