User Type,Username,Date,Text
,stashfreak,2011-06-20T18:11Z,Grazie infinite!
,jack_williams,2011-06-20T19:37Z,"Hey Merzedes I thank you again for all the incredible Naked Kombat videos! I will ask u a new favor... Can u please upload these 2 videos of Naked Komabt?
-Trent Diesel & Sebastien Keys VS Leo Forte & DJ (Live Audience Tag Team Match)
-Shane Erickson VS Jake Woods
... Thank you"
[V],merzedes,2011-06-20T21:12Z,"I can only help you with this one----- Shane Erickson VS Jake Woods


Cheerz  :-)"
,jack_williams,2011-06-21T08:15Z,OK sure that's great... please upload as soon as u can! :D Thank u
