Filename,Size,Unit
dpx-mj.r20,95.37,M
dpx-mj.r01,95.37,M
dpx-mj.r02,95.37,M
dpx-mj.r03,95.37,M
dpx-mj.r04,95.37,M
dpx-mj.r05,95.37,M
dpx-mj.r06,95.37,M
dpx-mj.r07,95.37,M
dpx-mj.r08,95.37,M
dpx-mj.r09,95.37,M
dpx-mj.r10,95.37,M
dpx-mj.r11,95.37,M
dpx-mj.r12,95.37,M
dpx-mj.r13,95.37,M
dpx-mj.r14,95.37,M
dpx-mj.r15,95.37,M
dpx-mj.r16,95.37,M
dpx-mj.r17,95.37,M
dpx-mj.r18,95.37,M
dpx-mj.r19,95.37,M
dpx-mj.r00,95.37,M
dpx-mj.r21,95.37,M
dpx-mj.r22,95.37,M
dpx-mj.r23,95.37,M
dpx-mj.r24,95.37,M
dpx-mj.r25,95.37,M
dpx-mj.r26,95.37,M
dpx-mj.r27,95.37,M
dpx-mj.r28,95.37,M
dpx-mj.r29,95.37,M
dpx-mj.r30,95.37,M
dpx-mj.r31,95.37,M
dpx-mj.r32,95.37,M
dpx-mj.r33,95.37,M
dpx-mj.r34,95.37,M
dpx-mj.rar,95.37,M
dpx-mj.r35,71.44,M
duplex-mindjack_patched_files.rar,2.51,M
duplex.nfo,4.15,K
dpx-mj.sfv,821,B
