Filename,Size,Unit
Anter Kapat/Ik Til Nahin Visre.mp3,72.31,M
Anter Kapat/Anter Kapat.mp3,64.21,M
Anter Kapat/Vaar Vaar Jaee Lakh Vareeya.mp3,5.33,M
Anter Kapat/Tina Ho Vaariya.mp3,3.72,M
Anter Kapat/har japadayan meri jinday.mp3,788.77,K
Devoh Darshan Aapana/Koi Aan Milavey.mp3,31.47,M
Devoh Darshan Aapana/Moko Tu Na Bissar.mp3,29.25,M
Devoh Darshan Aapana/Sun Yaar Hamarey Sajjan.mp3,28.81,M
Devoh Darshan Aapana/Devoh Darshan Aapana.mp3,27.62,M
Devoh Darshan Aapana/Moko Taar Lai.mp3,13.63,M
Devoh Darshan Aapana/Aavoh Sajana.mp3,11.32,M
Gur Gobind Sura/Dhan Dhan Hamarey Bhag.mp3,31.69,M
Gur Gobind Sura/Gur Gobind Sura.mp3,28.27,M
Gur Gobind Sura/Aaj Morey Aayeh Hain.mp3,24.34,M
Gur Gobind Sura/Vaho Vaho Gobind Singh.mp3,20.44,M
Gur Gobind Sura/Ram Pyara Ram.mp3,15.82,M
Gur Gobind Sura/Tahi Parkash Hamara Bhaeyo.mp3,14.83,M
Haun Reh Na Sakan/Har Bin Reh Na Sakon Ik Raati.mp3,33.72,M
Haun Reh Na Sakan/Tujh Bin Keyon Sarey.mp3,28.21,M
Haun Reh Na Sakan/Haun Reh Na Sakan.mp3,25.06,M
Haun Reh Na Sakan/Mera Mann Lochey.mp3,22.53,M
Haun Reh Na Sakan/Keyon Pir Bin Jeveyeah Ram.mp3,18.63,M
Hum Hoven Lale Gole/Hum Hovhe Lale Gole.mp3,21.17,M
Hum Hoven Lale Gole/Haun Tis Ghol Ghumai.mp3,21.17,M
Kad Nanak Ave Vaari/Kad Nanak Aavey Vari.mp3,21.83,M
Kad Nanak Ave Vaari/Gur Pura Milavey Maira Priytam.mp3,8.21,M
Kad Nanak Ave Vaari/Daras Pyas Mero Mann Moheyoh.mp3,7.42,M
Kad Nanak Ave Vaari/Darshan Deejey Khol Kiwarh.mp3,5.79,M
LIVE RECORDINGS/waheguruu.mp3,78.45,M
"LIVE RECORDINGS/Kirtan at Gurudwara Tikana Saheb, Delhi on 08 February 2008.mp3",60.29,M
LIVE RECORDINGS/Mehima Kahee Na Jaye.mp3,25.58,M
LIVE RECORDINGS/Naam Vithon Kurbaan.mp3,25.21,M
LIVE RECORDINGS/Sarnee Ayo Naath Nidaan.mp3,22.14,M
LIVE RECORDINGS/Har Rus Peevuhu.mp3,21.82,M
LIVE RECORDINGS/MAI CHAARE KUNDAA BHAALIYAA TUDH JEWADH NAA SAAIYAA.mp3,21.47,M
LIVE RECORDINGS/KAROH KIRPA GOPAAL GOBINDE.mp3,21.15,M
LIVE RECORDINGS/SAAJAN TERE CHARAN KI.mp3,20.84,M
LIVE RECORDINGS/JAPOH TA EKO NAAMAA AVAR NIRAAFAL KAAMAA.mp3,20.38,M
LIVE RECORDINGS/MAI PAKHIO RI.mp3,18.47,M
LIVE RECORDINGS/TOTT NA AAWAI JAP NIRANKAAR.mp3,15.42,M
LIVE RECORDINGS/MERAI MAN AISI BHAGAT BAN AAYI.mp3,11.02,M
LIVE RECORDINGS/SO SATGUR PYARA MERAI NAAL HAI.mp3,11,M
LIVE RECORDINGS/Saadhaa Saranee Jo Pavai S Shuttai Badhaa.mp3,10.35,M
LIVE RECORDINGS/KOI AAN MILAAVAI MERA PREETAM PYARA.mp3,7.57,M
LIVE RECORDINGS/MEHMA KAHEE NA JAAYE.mp3,6.65,M
LIVE RECORDINGS/SAAVAL SUNDAR RAAMAIYAA.mp3,6.03,M
LIVE RECORDINGS/EH BAKHSIS.mp3,4.01,M
LIVE RECORDINGS/Saacha saahe sadd mehewaan.mp3,3.95,M
LIVE RECORDINGS/Gur Gobind Soora.mp3,2.42,M
LIVE RECORDINGS/Suraj Kiran Mile.mp3,366.41,K
Man Jeeve Naam Sun Tera/Babeeha Amrit Vele Boleya.mp3,20.44,M
Man Jeeve Naam Sun Tera/Jaachak Mange Daan.mp3,19.91,M
Man Jeeve Naam Sun Tera/Mun Jeev.mp3,7.4,M
Man Jeeve Naam Sun Tera/MAN JEVA NAAM SUNN TERA.mp3,576.34,K
Sansaar Samundey/Sansaar Samundey.mp3,30.93,M
Sansaar Samundey/Ik Ghari Dinas Moko.mp3,28.97,M
Sansaar Samundey/Tumri Kirpa Tey.mp3,25.09,M
Sansaar Samundey/Har Bin Jeo Na Rahey.mp3,20.31,M
Sansaar Samundey/Sajan Desh Videsh.mp3,18.92,M
Sansaar Samundey/Kirpa Kar Banwariya.mp3,16.35,M
Satgur Aage Sees Bhet/Satgur Aage Sees Bhet Deo.mp3,9.95,M
