User Type,Username,Date,Text
,efze,2011-01-12T09:27Z,"By Xcel (The Punisher) at 2011-01-11 21:42:32 GMT (5 hours ago)

**Update**

Axxo Himself is now an uploader here at torrentday...Yes, he is the real deal, Verified By TDG himself....

Its official guys. He's back!"
,oakmario,2011-01-15T22:26Z,"No good. Can't watch on PS3 as the Cinavia copy protection kicks in after about 15 to 20 minutes and turns off the audio.

Need a way to crack these damn DRM codes."
,pkolalex,2011-01-22T07:55Z,how do you upload the movies to the ps3 ?
,babybluetits24,2011-02-14T13:19Z,http://www.imdb.com/title/tt1135084/
