User Type,Username,Date,Text
,joymck,2011-10-28T10:53Z,"Thanks for the download, love Jonathan Kellerman."
,chromepony,2011-10-28T16:14Z,"Many thanks, Bookek, love this author's books,  His wife, Faye and his son, Jesse are authers too.  Do you happen to have any of their books?  Would appreciate them.  chromepony"
,Bookeek,2011-11-02T19:26Z,"Your welcome!

chromepony...i'm very far behind on request, but will try to get to you as soon as i can...cheers"
,Read123,2012-03-01T18:26Z,"Hi any chance of getting his more recent one ""Victims"" Special thanks"
,kathykat63,2012-06-01T11:43Z,Keeping my elderly mother's iPad supplied with books keeps her out of mischief.  She will love these!  Thank you Bokeek. [:
