Filename,Size,Unit
Elis Regina - 1972 - Elis - 00.jpg,92.64,K
Elis Regina - 1972 - Elis - 00.txt,1.32,K
Elis Regina - 1972 - Elis - 01 - 20 Anos Blue.mp3,7.05,M
Elis Regina - 1972 - Elis - 02 - Bala Com Bala.mp3,7.09,M
Elis Regina - 1972 - Elis - 03 - Nada Sera Como Antes.mp3,5.96,M
Elis Regina - 1972 - Elis - 04 - Mucuripe.mp3,5.48,M
Elis Regina - 1972 - Elis - 05 - Olhos Abertos.mp3,5.69,M
Elis Regina - 1972 - Elis - 06 - Vida De Bailarina.mp3,5.31,M
Elis Regina - 1972 - Elis - 07 - Aguas De Marco.mp3,6.86,M
Elis Regina - 1972 - Elis - 08 - Atras Da Porta.mp3,6.23,M
Elis Regina - 1972 - Elis - 09 - Cais.mp3,7.26,M
Elis Regina - 1972 - Elis - 10 - Me Deixa Em Paz.mp3,4.78,M
Elis Regina - 1972 - Elis - 11 - Casa No Campo.mp3,6.37,M
Elis Regina - 1972 - Elis - 12 - Boa Noite Amor.mp3,5.22,M
Elis Regina - 1972 - Elis - cover 01.jpg,2.03,M
Elis Regina - 1972 - Elis - cover 02.jpg,2,M
Elis Regina - 1972 - Elis - cover 03.jpg,2.07,M
Elis Regina - 1972 - Elis - cover 04.jpg,1.99,M
Elis Regina - 1972 - Elis - cover 05.jpg,1.83,M
Elis Regina - 1972 - Elis - cover 06.jpg,1.91,M
Elis Regina - 1972 - Elis - cover 07.jpg,1.47,M
Elis Regina - 1972 - Elis - side 1.jpg,283.95,K
Elis Regina - 1972 - Elis - side 2.jpg,298.45,K
Torrent downloaded from Demonoid.me.txt,46,B
Torrent downloaded from h33t.com.txt,43,B
