User Type,Username,Date,Text
[T],despo1ler,2011-02-16T05:04Z,"only 1 problem with this, no episode 2, episode 1 is repeated twice :(
apart from that excellent uplaod, tyvm"
,tony_star,2011-05-31T21:11Z,Thank You :)
,Philonetic,2011-06-07T10:50Z,"Great torrent.
If Ep.1 is really repeated then get ep 2 from this one. http://thepiratebay.org/torrent/6179209/Marvel-Knights-Black-Panther-Webrip-DiVX-%5BOj%5D"
,caincha,2012-06-06T16:31Z,"Yes, ep1 is repeated as if it were ep2, which is a shame.. =/"
