User Type,Username,Date,Text
[V],HDvideos,2011-09-03T06:47Z,"Screens:
http://www.shotpix.com/images/29272514603095515139.png
http://www.shotpix.com/images/71427498697092178307.png
http://www.shotpix.com/images/90621860667993015378.png
http://www.shotpix.com/images/11990070014821170178.png
http://www.shotpix.com/images/50620055959734499283.png
http://www.shotpix.com/images/03305280171616818347.png
http://www.shotpix.com/images/78802949596679646244.png
http://www.shotpix.com/images/58110404474319104505.png"
,vinmoh,2011-09-03T10:03Z,no comments? hows d quality?
,dotz10,2011-09-03T16:59Z,Thanks Man !! :)  :) :)
,jamshu,2011-09-15T12:12Z,"don!t ask any question about quality, he was the best uploader.please keep 5.1 audio for all movies.please upload these three movies for me and all comedy lovers,pulivaal kalyanam 5.1,chronic bachelor 5.1,paandipada 5.1"
