User Type,Username,Date,Text
,stephenp65,2011-05-26T05:42Z,TV Team...you rock! I can't wait to see this.
,scoobs5973,2011-05-26T10:34Z,"Awesooooome dude .. you rock!! Have been searching the bay everyday since it started, I knew YOU wouldn't let me down! Many thanks :)"
,hoochnuts,2011-05-28T08:09Z,"Thank you for this. You're a champion. Can't wait to watch, I'll seed this forever! Please upload the next 2 parts as well, you're the best."
,incubus4952,2011-05-30T00:40Z,Part 1 was Magic cant wait till Part 2  This is the only copy on the net Thanks Heaps!!
,TrondSoapMacTavish,2011-10-05T16:22Z,I am unable to unrar this release. Asking for r00 file?
,rayzoredge,2011-10-23T09:51Z,thank you
,libertaswv,2012-01-21T00:05Z,"Ignore the ""unRAR"" comment, it's bullshit.

This is a TvTeam release....Always quality, always trusted, and i can't remember EVER seeing a RAR."
