User Type,Username,Date,Text
,rpeters,2011-03-09T19:58Z,THANKS IN ADVANCE FOR YET ANOTHER AWESOME ANAL MOVIE FROM FEMALE MIND!!!WITH WELSH SUPER ANAL QUEEN ISABEL ICE& AMERICAN BLONDE AARALYN BARRA WITH BYRON LONG IN HER ASS!!!
,ehunter,2011-10-02T17:31Z,"If you liked this vid, dont forget about 
http://thepiratebay.org/torrent/5781669/AttentionWhores_1.mpg and 
http://thepiratebay.org/torrent/5867075/AttentionWhores_2.mpg"
,SamMalone1963,2012-03-30T02:52Z,You Guys mind seeding a little faster?  Currently with 2 seeders online it's @ 0.3 kb/sec
,SamMalone1963,2012-03-30T04:36Z,Ba Download.  Scenes 3 and 4 DO Not Work
